204.84.11.160	3c:a8:2a:c7:de:0f	Hewlett Packard
204.84.11.96	90:68:c3:4e:ea:49	Motorola Mobility LLC, a Lenovo Company
204.84.10.222	b8:e8:56:f2:74:33	Apple, Inc.
204.84.11.139	98:e7:f5:fd:a2:c1	(Unknown)
204.84.11.116	cc:08:8d:16:53:11	(Unknown)
204.84.11.165	30:52:cb:83:1a:51	Liteon Technology Corporation
204.84.11.172	b4:ae:2b:3a:b3:4d	Microsoft
204.84.11.122	ec:35:86:3e:83:3c	Apple, Inc.
204.84.11.174	78:31:c1:bc:ac:0a	Apple, Inc.
204.84.10.172	a0:99:9b:a5:de:e9	Apple, Inc.
204.84.10.244	e0:5f:45:25:c7:ed	(Unknown)
204.84.11.149	0c:3e:9f:2e:8b:e3	Apple, Inc.
204.84.10.203	0c:47:c9:e1:53:a8	Amazon Technologies Inc.
204.84.10.9	ac:5f:3e:e7:14:78	(Unknown)
204.84.10.9	ac:5f:3e:e7:14:78	(Unknown) (DUP: 2)
204.84.11.188	00:ae:fa:5d:e6:d0	Murata Manufacturing Co., Ltd.
204.84.11.179	88:07:4b:e1:02:45	LG Electronics (Mobile Communications)
204.84.11.203	ac:bc:32:c1:7f:3d	Apple, Inc.
204.84.11.178	3c:15:c2:d1:5c:60	Apple, Inc.
204.84.11.153	04:15:52:a7:85:a9	Apple, Inc.
204.84.11.32	a4:08:ea:37:bd:12	Murata Manufacturing Co., Ltd.
204.84.11.202	a4:b8:05:ad:ee:15	Apple, Inc.
204.84.11.218	00:0e:35:4c:a6:84	Intel Corporation
204.84.11.216	d0:7e:35:fb:cb:51	Intel Corporate
204.84.11.161	f4:09:d8:a7:6d:9c	Samsung Electro Mechanics co., LTD.
204.84.11.177	00:21:e9:e3:2b:58	Apple, Inc.
204.84.11.86	ac:5f:3e:94:db:68	(Unknown)
204.84.11.208	28:f0:76:28:14:3a	Apple, Inc.
204.84.11.220	d8:5d:e2:0c:f2:35	Hon Hai Precision Ind. Co.,Ltd.
204.84.11.201	70:56:81:b4:dd:13	Apple, Inc.
204.84.11.232	10:0b:a9:53:a3:ac	Intel Corporate
204.84.11.234	44:1c:a8:e1:24:31	Hon Hai Precision Ind. Co.,Ltd.
204.84.11.145	58:f1:02:cb:59:1a	BLU Products Inc.
204.84.11.141	80:01:84:68:cb:61	HTC Corporation
204.84.11.209	d4:37:d7:96:52:5a	zte corporation
204.84.11.212	60:a3:7d:09:a5:a3	Apple, Inc.
204.84.11.221	ec:35:86:3e:83:50	Apple, Inc.
204.84.10.130	c8:f6:50:23:0b:a0	Apple, Inc.
204.84.11.223	98:01:a7:9e:f6:d7	(Unknown)
204.84.9.235	cc:20:e8:3c:ac:44	Apple, Inc.
204.84.10.103	90:b2:1f:c8:a3:f1	Apple, Inc.
