10.38.32.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.36.65	20:3c:ae:99:b4:96	(Unknown)
10.38.40.127	38:2d:e8:bb:2f:e8	(Unknown)
10.38.40.60	fc:c2:de:f2:ad:24	(Unknown) (DUP: 3)
10.38.39.246	f4:31:c3:ae:28:d5	(Unknown)
10.38.39.39	fc:db:b3:d8:e4:45	(Unknown)
10.38.40.104	88:79:7e:ea:e2:4a	(Unknown)
10.38.38.53	3c:91:57:22:d9:0c	Hangzhou Yulong Conmunication Co.,Ltd
10.38.40.95	18:21:95:44:c4:97	(Unknown) (DUP: 2)
10.38.40.6	cc:08:8d:8a:67:b1	(Unknown)
10.38.40.92	00:34:da:60:4e:41	(Unknown)
10.38.40.112	c4:21:c8:17:41:cb	KYOCERA Corporation
10.38.40.75	64:a3:cb:87:24:50	Apple
10.38.40.103	c8:1e:e7:83:42:d1	(Unknown)
10.38.39.183	24:f0:94:3d:8d:5b	(Unknown)
10.38.39.125	84:10:0d:14:92:24	(Unknown)
10.38.39.76	18:f6:43:06:0a:de	(Unknown)
10.38.39.207	50:7a:55:43:ff:54	(Unknown)
10.38.38.131	80:ed:2c:56:b4:9e	(Unknown)
10.38.40.156	f8:1e:df:f1:69:7c	Apple, Inc
10.38.39.124	ec:9b:f3:e4:31:cb	(Unknown)
10.38.40.161	68:94:23:8d:89:aa	Hon Hai Precision Ind. Co.,Ltd.
10.38.40.170	64:5a:04:6e:fc:fd	Chicony Electronics Co., Ltd.
10.38.40.184	04:4b:ed:8b:b5:71	(Unknown)
10.38.40.80	dc:2b:2a:b9:00:59	(Unknown)
10.38.40.194	ac:2b:6e:f4:00:2e	(Unknown)
10.38.40.142	b0:df:3a:26:41:49	(Unknown)
10.38.40.142	b0:df:3a:26:41:49	(Unknown) (DUP: 2)
10.38.40.213	34:68:95:94:a9:d9	(Unknown)
10.38.40.177	44:85:00:e9:a8:db	Intel Corporate
10.38.36.105	5c:97:f3:39:97:9d	(Unknown)
10.38.38.255	ac:5f:3e:5b:72:fd	(Unknown) (DUP: 2)
10.38.40.123	f8:e0:79:a9:33:e5	(Unknown)
10.38.39.168	a4:08:ea:7b:e6:4a	(Unknown) (DUP: 2)
10.38.40.108	f8:f1:b6:1a:41:ab	Motorola Mobility LLC
10.38.40.162	b4:ce:f6:0f:eb:65	(Unknown)
10.38.40.238	6c:71:d9:4c:29:36	AzureWave Technologies, Inc
10.38.40.175	00:56:cd:77:8f:74	(Unknown)
10.38.39.152	88:1f:a1:1d:4b:e6	Apple
10.38.40.25	e4:9a:79:cd:99:f8	(Unknown)
10.38.40.189	70:14:a6:4e:31:d1	(Unknown)
10.38.40.192	e0:ac:cb:82:18:ea	(Unknown)
10.38.40.215	5c:96:9d:7b:da:51	Apple
10.38.39.150	28:a0:2b:4b:9a:41	(Unknown)
10.38.40.159	74:29:af:48:9b:fa	(Unknown)
10.38.40.49	24:e3:14:d7:99:cd	(Unknown)
10.38.40.255	b8:8d:12:40:d6:c0	Apple, Inc.
10.38.40.76	00:56:cd:38:a3:21	(Unknown)
10.38.40.246	60:57:18:9f:4c:0f	Intel Corporate
10.38.41.11	cc:25:ef:a2:fe:91	(Unknown)
10.38.40.129	20:ab:37:0d:09:ff	(Unknown)
10.38.41.31	c0:bd:d1:f3:1b:47	(Unknown)
10.38.41.31	c0:bd:d1:f3:1b:47	(Unknown) (DUP: 2)
10.38.40.250	40:78:6a:32:e5:b2	(Unknown)
10.38.40.72	90:60:f1:ac:35:7f	(Unknown)
10.38.40.224	14:30:c6:5d:e2:02	(Unknown)
10.38.41.25	2c:33:61:53:55:4d	(Unknown)
10.38.40.201	4c:8d:79:d6:eb:de	Apple
10.38.41.23	f4:31:c3:23:42:37	(Unknown)
10.38.40.32	a4:08:ea:26:9b:2d	(Unknown)
10.38.40.55	d0:25:98:c5:ac:e1	(Unknown)
10.38.40.57	28:a0:2b:c8:ab:d9	(Unknown)
10.38.40.197	70:56:81:96:3d:0d	Apple Inc
10.38.40.165	a4:b8:05:60:3d:71	(Unknown)
10.38.40.176	60:f1:89:92:ae:88	(Unknown)
10.38.41.75	74:29:af:fc:ae:d9	(Unknown)
10.38.40.110	d0:03:4b:bf:eb:dd	(Unknown)
10.38.41.59	34:23:ba:b5:f7:08	Samsung Electro Mechanics co.,LTD.
10.38.41.38	dc:2b:2a:51:6d:2c	(Unknown)
